Investor,Seed-DB code,Seed-DB webpage
Alexander Bruehl,6.34E+15,http://www.seed-db.com/investorgraph/investorview?investorid=6343570621464576
Alexander Chang,6.53E+15,http://www.seed-db.com/investorgraph/investorview?investorid=6533977540132864
Alexander Gerko,6.66E+15,http://www.seed-db.com/investorgraph/investorview?investorid=6661725168336896
Alexander Goldstein,4.88E+15,http://www.seed-db.com/investorgraph/investorview?investorid=4878823577354240
Alexander Kritikos,6.31E+15,http://www.seed-db.com/investorgraph/investorview?investorid=6313574465011712
Alexander Levy,4.68E+15,http://www.seed-db.com/investorgraph/investorview?investorid=4675134484905984
Alexander Saint-Amand,5.92E+15,http://www.seed-db.com/investorgraph/investorview?investorid=5915173269274624
Alexander Yu,6.71E+15,http://www.seed-db.com/investorgraph/investorview?investorid=6713722722582528
Alexandre Almajeanu,5.39E+15,http://www.seed-db.com/investorgraph/investorview?investorid=5388612568875008
Alexandre Azoulay,4.80E+15,http://www.seed-db.com/investorgraph/investorview?investorid=4804682673291264
Alexandre Mars,5.82E+15,http://www.seed-db.com/investorgraph/investorview?investorid=5824994072330240
Alexei Chemenda,6.71E+15,http://www.seed-db.com/investorgraph/investorview?investorid=6710704975380480
Alexia Tsotsis,5.72E+15,http://www.seed-db.com/investorgraph/investorview?investorid=5722962070077440
Alexis Bonte,5.90E+15,http://www.seed-db.com/investorgraph/investorview?investorid=5900177533566976
Alexis Ohanian,6.32E+15,http://www.seed-db.com/investorgraph/investorview?investorid=6315424002080768
Alexis Pantazis,4.65E+15,http://www.seed-db.com/investorgraph/investorview?investorid=4649147630092288
Alexis Pantazis,6.25E+15,http://www.seed-db.com/investorgraph/investorview?investorid=6247583349473280
Alexsis de Raadt-St. James,5.70E+15,http://www.seed-db.com/investorgraph/investorview?investorid=5698679197401088
Alfonso Alvarez,6.58E+15,http://www.seed-db.com/investorgraph/investorview?investorid=6583408675258368
Alfred Lin,4.63E+15,http://www.seed-db.com/investorgraph/investorview?investorid=4627336360099840
Alfred Lin,5.74E+15,http://www.seed-db.com/investorgraph/investorview?investorid=5738987331256320
Alfred Luger,4.85E+15,http://www.seed-db.com/investorgraph/investorview?investorid=4846131276152832
Alfredo Osorio,5.46E+15,http://www.seed-db.com/investorgraph/investorview?investorid=5464635268399104
Algy Williams,5.43E+15,http://www.seed-db.com/investorgraph/investorview?investorid=5434648444272640
Ali Alghanim,6.66E+15,http://www.seed-db.com/investorgraph/investorview?investorid=6656261164630016
Ali Partovi,5.11E+15,http://www.seed-db.com/investorgraph/investorview?investorid=5105249555578880
Ali Partovi,5.28E+15,http://www.seed-db.com/investorgraph/investorview?investorid=5280519147225088
Ali Rowghani,6.75E+15,http://www.seed-db.com/investorgraph/investorview?investorid=6751295369117696
Alireza Masrour,4.93E+15,http://www.seed-db.com/investorgraph/investorview?investorid=4932375700045824
Alison Rosenthal,5.41E+15,http://www.seed-db.com/investorgraph/investorview?investorid=5406735888023552
Alistair Croll,5.16E+15,http://www.seed-db.com/investorgraph/investorview?investorid=5155923593003008
